
Subj	Trial	TrainingLevel	Stimuli_Type	Stimuli_1	Stimuli_2	Response		Correct
370	NaN	1	D_S	5	1	BAH		2
370	NaN	1	D_S	1	1	DAH		1
370	NaN	1	D_S	5	5	WAH		4
370	NaN	1	D_S	1	5	LAH		3
370	NaN	2	D_S	5	5	WAH		4
370	NaN	2	D_S	5	1	BAH		2
370	NaN	2	D_S	1	5	LAH		3
370	NaN	2	D_S	1	1	DAH		1
370	NaN	3	D_S	3	3	undefined		undefined
370	NaN	3	D_S	5	1	BAH		2
370	NaN	3	D_S	3	1	undefined		undefined
370	NaN	3	D_S	2	3	undefined		undefined
370	NaN	3	D_S	4	5	undefined		undefined
370	NaN	3	D_S	1	4	undefined		undefined
370	NaN	3	D_S	1	2	undefined		undefined
370	NaN	3	D_S	4	3	undefined		undefined
370	NaN	3	D_S	5	5	WAH		4
370	NaN	3	D_S	5	2	undefined		undefined
